                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     36,                0.89495,                0.61101,                 0.9261,                0.93838,                0.89569,                0.93164,                0.68104,                0.92505,                0.59814,                0.94203,             0.00047367,             0.00047367,             0.00047367
                     37,                0.90061,                0.59154,                0.92682,                0.93616,                0.90442,                0.94079,                0.69428,                0.91629,                0.58704,                0.93231,              0.0004666,              0.0004666,              0.0004666
                     38,                 0.9011,                0.58922,                0.92702,                0.93623,                0.90423,                0.93119,                0.68452,                0.90922,                0.58945,                0.94112,             0.00045953,             0.00045953,             0.00045953
                     39,                 0.8664,                0.56995,                0.92643,                0.94668,                0.91368,                0.94667,                0.68567,                 0.9001,                0.57231,                0.92927,             0.00045246,             0.00045246,             0.00045246
                     40,                0.87165,                0.56637,                0.92562,                0.94893,                0.90387,                0.93614,                0.68553,                 0.9058,                0.56998,                0.94095,             0.00044539,             0.00044539,             0.00044539
                     41,                0.87501,                0.56902,                0.91836,                0.93961,                0.89527,                0.92969,                0.67558,                 0.9078,                0.57453,                0.93581,             0.00043832,             0.00043832,             0.00043832
                     42,                0.87997,                 0.5747,                0.92042,                0.92835,                 0.9068,                 0.9357,                0.67825,                0.92595,                0.57022,                0.94843,             0.00043126,             0.00043126,             0.00043126
                     43,                0.86717,                0.56417,                0.92848,                0.93411,                0.90123,                0.94079,                0.67658,                0.91397,                0.55873,                0.93949,             0.00042419,             0.00042419,             0.00042419
                     44,                0.85964,                0.55632,                0.92249,                0.94581,                0.87366,                0.94402,                0.69026,                0.91296,                0.56837,                0.93952,             0.00041712,             0.00041712,             0.00041712
                     45,                0.88598,                0.57116,                0.92255,                0.95501,                0.91094,                0.94627,                0.69345,                0.91373,                0.55355,                0.93144,             0.00041005,             0.00041005,             0.00041005
                     46,                0.86283,                0.54384,                0.91278,                 0.9263,                0.91552,                0.94756,                0.68053,                0.91512,                0.54442,                0.94619,             0.00040298,             0.00040298,             0.00040298
                     47,                0.85937,                0.54814,                0.91698,                0.94393,                0.91597,                0.94902,                 0.6953,                0.90721,                0.54032,                0.94226,             0.00039591,             0.00039591,             0.00039591
                     48,                0.83759,                0.54311,                 0.9085,                0.94823,                0.90749,                0.94573,                0.69011,                0.92875,                0.55075,                 0.9424,             0.00038884,             0.00038884,             0.00038884
                     49,                0.83619,                0.53444,                0.91005,                0.93763,                 0.9211,                0.93949,                0.69525,                0.89352,                0.53549,                0.92272,             0.00038178,             0.00038178,             0.00038178
                     50,                0.83629,                0.53158,                0.90593,                0.94007,                0.90927,                 0.9375,                0.69253,                 0.8961,                 0.5286,                0.93457,             0.00037471,             0.00037471,             0.00037471
                     51,                0.83566,                0.53279,                 0.9043,                0.94677,                0.91964,                0.94739,                0.68852,                0.91501,                0.53316,                0.93522,             0.00036764,             0.00036764,             0.00036764
                     52,                0.85463,                0.53543,                0.90293,                0.94348,                0.91795,                0.94762,                0.70503,                0.89076,                0.52386,                0.93501,             0.00036057,             0.00036057,             0.00036057
                     53,                0.82976,                0.52614,                0.91587,                0.93769,                0.92276,                 0.9475,                0.69442,                0.91812,                0.52528,                0.94825,              0.0003535,              0.0003535,              0.0003535
                     54,                0.81967,                0.51759,                0.90194,                0.95298,                0.90736,                0.94286,                0.70326,                0.88495,                0.51177,                 0.9242,             0.00034643,             0.00034643,             0.00034643
                     55,                0.82075,                0.49878,                0.90497,                0.94521,                0.91413,                0.94951,                0.69869,                0.88444,                0.51488,                0.92257,             0.00033936,             0.00033936,             0.00033936
                     56,                0.83164,                0.51872,                0.90385,                0.93007,                0.92314,                0.94894,                0.70974,                0.87171,                0.51409,                0.91799,              0.0003323,              0.0003323,              0.0003323
                     57,                0.82154,                0.51267,                0.90914,                0.95561,                0.91179,                0.95212,                0.69947,                0.90891,                0.51812,                0.94253,             0.00032523,             0.00032523,             0.00032523
                     58,                0.80556,                0.49914,                0.89673,                0.94871,                0.92301,                 0.9531,                0.70392,                0.86765,                0.49887,                0.92124,             0.00031816,             0.00031816,             0.00031816
                     59,                0.80926,                0.49496,                0.90386,                0.95621,                0.90961,                0.94915,                0.71096,                0.86154,                0.50208,                0.91811,             0.00031109,             0.00031109,             0.00031109
